"claim_id","figure_id","panel_id","visual_element_id","model","task","condition","metric_name","metric_definition_id","displayed_value","displayed_uncertainty","n_unit","source_file","source_object_or_row","source_file_sha256","transform_script","transform_script_sha256","transform_parameters","upstream_verdict","boundary_note"
"A1","Fig. 1","b","coord_1","Qwen","","Hidden decision state","grouped_audit_gain","coordinate_grouped_gain","0.447769926529315","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:1","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A1","Fig. 1","b","coord_2","Qwen","","Direct hidden flow","grouped_audit_gain","coordinate_grouped_gain","0.444024491278527","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:2","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A1","Fig. 1","b","coord_3","Qwen","","Learned-W readback","grouped_audit_gain","coordinate_grouped_gain","0.406760182257094","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:3","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A1","Fig. 1","b","coord_4","Qwen","","Gaussian readback","grouped_audit_gain","coordinate_grouped_gain","0.343491670621664","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:4","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A1","Fig. 1","b","coord_5","Llama","","Hidden decision state","grouped_audit_gain","coordinate_grouped_gain","0.52031942266584","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:5","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A1","Fig. 1","b","coord_6","Llama","","Direct hidden flow","grouped_audit_gain","coordinate_grouped_gain","0.485292693994357","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:6","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A1","Fig. 1","b","coord_7","Llama","","Gaussian readback","grouped_audit_gain","coordinate_grouped_gain","0.285019252524231","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:7","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A1","Fig. 1","b","coord_8","Llama","","Learned-W readback","grouped_audit_gain","coordinate_grouped_gain","0.267866460621288","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:8","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A1","Fig. 1","b","coord_9","Gemma","","Hidden decision state","grouped_audit_gain","coordinate_grouped_gain","0.240152626075189","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:9","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A1","Fig. 1","b","coord_10","Gemma","","Direct hidden flow","grouped_audit_gain","coordinate_grouped_gain","0.2438059499287","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:10","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A1","Fig. 1","b","coord_11","Gemma","","Learned-W readback","grouped_audit_gain","coordinate_grouped_gain","0.217429051613707","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:11","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A1","Fig. 1","b","coord_12","Gemma","","Gaussian readback","grouped_audit_gain","coordinate_grouped_gain","0.160108170369329","","","output/figures/nature_figures_v2_8_k3_self_containment/source_data/figure2_panel_a_independent_mechanism_label_gain.csv","row:12","1D33092DFA73FBD1EFED36F3F2C852A351B309ABD92C458D7B0999BBEC2028B8","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Coordinate evidence is diagnostic, not the empirical process itself."
"A3","Fig. 2","a","init_1","qwen","","trained","alignment_gain","native_minus_shuffle_alignment","0.0317454975843429","","","experiment_closure_source_data_v0_1/crossmodel_initialization_geometry.csv","row:1","67EB02BED330B9F206895C1919D7A572EBBFB7DDA5EC7960DF4A1EDE4E298CE6","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Stronger random alignment is not better computation."
"A3","Fig. 2","a","init_2","qwen","","random initialization","alignment_gain","native_minus_shuffle_alignment","0.0767617186469336","","","experiment_closure_source_data_v0_1/crossmodel_initialization_geometry.csv","row:2","67EB02BED330B9F206895C1919D7A572EBBFB7DDA5EC7960DF4A1EDE4E298CE6","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Stronger random alignment is not better computation."
"A3","Fig. 2","a","init_3","llama","","trained","alignment_gain","native_minus_shuffle_alignment","0.0402691491693258","","","experiment_closure_source_data_v0_1/crossmodel_initialization_geometry.csv","row:3","67EB02BED330B9F206895C1919D7A572EBBFB7DDA5EC7960DF4A1EDE4E298CE6","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Stronger random alignment is not better computation."
"A3","Fig. 2","a","init_4","llama","","random initialization","alignment_gain","native_minus_shuffle_alignment","0.102780266714593","","","experiment_closure_source_data_v0_1/crossmodel_initialization_geometry.csv","row:4","67EB02BED330B9F206895C1919D7A572EBBFB7DDA5EC7960DF4A1EDE4E298CE6","scripts/draw_v1r2_figures.R","EBA5CDE19A7C68D13084B6304AD5FEC5FB7A0B2560E31605C19DCEC8F830A3F7","identity","SUPPORTED","Stronger random alignment is not better computation."
