relative_path,bytes,sha256
actuator_coordinate_margin/analysis_config.json,452,8d7fcb41b9697ab9c3df491baaad1f6786205c9dd6c8717764c903ac796312a5
actuator_coordinate_margin/control_mediation_gate.json,708,27b9980c9391dd80869e4f91448c8e0d72e9637683682e36d67bd0518cbb6c5a
actuator_coordinate_margin/heldout_boundary_correspondence.csv,7807,078220ae3bb4d620d616d9a37231b380708994710db272212ada4e038ac64879
actuator_coordinate_margin/heldout_displacement.csv,167,d70369e4eb0c09fd54edbb97b732e215a5adf124ff8d011109375c71b8489340
actuator_coordinate_margin/heldout_displacement_bootstrap.csv,359141,24c22c5c8b7143bc3c14102898b991ebe6598f5a55b8d7522987a8d7acacaada
actuator_coordinate_margin/heldout_mediator_predictions.csv,13956,ffd1ac2076c2efea2367a75f9262466be42d1b90b6145750a6aae9c43a8c9df2
actuator_coordinate_margin/heldout_mediator_summary.csv,295,234cd00e0039917f0152c7ea480d1cb69e02c60f686446011d79dbc924d1eaa4
actuator_coordinate_margin/independent_verification.json,2206,d3af83c5e6059278ac3c87b359b3f2c3ff33666fb180c1d87618cd9b9767a6f7
actuator_coordinate_margin/mediator_graph_block_nulls.csv,25799,50629d43571c56cbffd25ace2b5344cb0be29749e9a44dd4501f035524268317
actuator_coordinate_margin/safety_matched_verdict.json,679,4ebd176a8180ff6a8d8c53e0c96cb488449ac79333d19e893d79c4bb2babdcac
actuator_coordinate_margin/train_grid_dose_response_bootstrap.csv,761540,9128378ea45d4081db02ef6e7e451e0dd6691657ada8d144a1deb09c5d52f362
actuator_coordinate_margin/train_grid_dose_response_nulls.csv,153690,f7ceff0eb3a9dc37b96e2435a8548607593cfcd6e26e0750fe3c0c771e7e30a7
actuator_coordinate_margin/train_grid_dose_response_summary.csv,429,1e5dd8a1dcd4adaf97419eaba2d82ecb7a6c13efb032a68443e1b8b6d1b347fe
actuator_coordinate_margin/train_grid_prompt_dose_correlations.csv,53148,60ba46237af2bc926319a75648ea61f6f32dc0095b585236e5bcb21c5028c670
architecture_continuity/analysis_config.json,394,51201218d65a3e61c4d77ac91ed54068be1ee32abfb0330f70d832c376f50ed9
