path,bytes,sha256
figure_source_data/extended_data9_address_null_summary.csv,283,192b6bfee677d35833d630d7c9aed6a1de23c9528b9c7a5ba595392ad40fd90d
figure_source_data/extended_data9_address_reassignment_nulls.csv,4622,a038265b93e3293e92050ffab87c790240fc964347a063fbd04fa820182b0c98
figure_source_data/extended_data9_component_controls.csv,1311,e0515091e1a7ba9d9902b134e318ef955038871d0d3af6de0b4efb0f67ea0f8f
figure_source_data/extended_data9_primary_summary.csv,513,39283875337e55431d9a4998081ea20e2876245b79bc255b409100b7508430fe
mixed_arithmetic_actuator_transfer/address_null_actions.csv,13455127,3629d6ea381a2e552a674c1116acd63443404fc216caa79b4f4da0d432354430
mixed_arithmetic_actuator_transfer/address_null_prompt_pairs.csv,2955735,9682fb755479fa4c210ebc06227f1e24a9781a21261f45ebf44bfb88de8426d4
mixed_arithmetic_actuator_transfer/address_null_summary.csv,13358,ec63ec6375064d8066f7bc25f7580dee483056a5f24aea623b1c295971d6e370
mixed_arithmetic_actuator_transfer/decision.json,936,f23046b37306bde52ea1aa3ddc551c653b4a32e316c6e6937b699ae425d64b6f
mixed_arithmetic_actuator_transfer/independent_verification.json,983,cd81238a6485300008b120df7ef5360fc36ece156ccdf6423f2fc65c7d24da34
mixed_arithmetic_actuator_transfer/pooled_address_null_summary.csv,3157,88ba37a133ae809dfdd0782a8b90e6d802a23adf2b80181daadbb43685f4f99b
mixed_arithmetic_actuator_transfer/primary_actions.csv,216339,9ee420e05c6c5bb1bf7a8b44386608380867688e794b9482fdf836c3d3db216d
mixed_arithmetic_actuator_transfer/primary_prompt_pairs.csv,58455,1b9060404043916f0f0844ccdf6a0f5615daee7f077126104744c86f88eb9ee9
mixed_arithmetic_actuator_transfer/primary_summary.csv,542,e6a245dde53ec3a30da5da180948bef0dc3567039f075d9643816b46618e1bf3
mixed_arithmetic_actuator_transfer/protocol.md,3743,eac81e026d630f7b121c41459cb45d266a6930fafa00ca631425332788121586
mixed_arithmetic_actuator_transfer/reproduction_checks.csv,527,18ea13478ed79e24d7360a648f19735ada2c95de579268f110ef732e3afc4f85
README.md,587,20acc8f4626a9c53f52edcd3517cab7b843ddbe1b356cfe17a432235529e9e59
