"task","model","init_seed","real_cross_half_unbiased_cka","strongest_cross_q95","real_quarter_unbiased_cka","strongest_quarter_q95","conservative_log2_over_q95","passes_all_three_nulls"
"lexical_category","qwen",1801,0.986341949605557,0.974779502571244,0.971952857521518,0.960225933716029,0.0170119787996018,"True"
"arithmetic_addition","qwen",1801,0.992106566361448,0.972606247924207,0.982416338589181,0.955986177835221,0.0286392355768813,"True"
"arc_challenge","qwen",1801,0.426822028821026,0.0511173012561493,0.34053962361506,0.0263977659100756,3.06175106123103,"True"
"lexical_category","qwen",1802,0.989628459647028,0.973111780180094,0.9781547003631,0.960155371338497,0.0242814546364521,"True"
"arithmetic_addition","qwen",1802,0.990748145451205,0.969313790297922,0.983164898705204,0.949133035430865,0.0315545851622655,"True"
"arc_challenge","qwen",1802,0.456201550126909,0.05458678690035,0.316554074048368,0.0285067422596607,3.06304766433254,"True"
"lexical_category","llama",1801,0.986965580055594,0.972544622986495,0.972477192693565,0.952864067044577,0.0212353258903683,"True"
"arithmetic_addition","llama",1801,0.994924374897314,0.979816708820859,0.988073640588997,0.964618282415714,0.0220749751486128,"True"
"arc_challenge","llama",1801,0.513405689587091,0.0562190193765525,0.365979237739357,0.0271033264773515,3.19096908977258,"True"
"lexical_category","llama",1802,0.989796207347092,0.972544147184766,0.981210791642014,0.960371498503384,0.0253677736013037,"True"
"arithmetic_addition","llama",1802,0.995400613134378,0.982569889561698,0.985452282022554,0.967253517670316,0.0187172466808374,"True"
"arc_challenge","llama",1802,0.504106641791384,0.0551628673228387,0.334350905738405,0.028270145488094,3.19195960843598,"True"
"lexical_category","gemma",1801,0.995809596669034,0.990006920630385,0.993367383650492,0.984886795061129,0.0084313084300845,"True"
"arithmetic_addition","gemma",1801,0.995312936831041,0.988743125734258,0.990616280114799,0.981551503742639,0.00955443619770165,"True"
"arc_challenge","gemma",1801,0.892016598261418,0.0576122739756539,0.836054555145617,0.0349166966049551,3.95262244773684,"True"
"lexical_category","gemma",1802,0.994796808891822,0.990884685211347,0.993797377041463,0.988892176758513,0.00568470699097306,"True"
"arithmetic_addition","gemma",1802,0.99711372717734,0.991034067112202,0.993364518078696,0.983255500518322,0.00882341120848079,"True"
"arc_challenge","gemma",1802,0.886045496579641,0.0580653312334059,0.841277901675141,0.0321826083012986,3.93163183671512,"True"
