relative_path,bytes,sha256
figure_source_data/export_qa_summary.csv,4076,e798279c4025a98c9d72a38c736f90a46be1c19abf136ae5cca185a75cd628e9
figure_source_data/extended_data10_transition_coordinate_predictability.csv,171,6c44d544f8dacc493b35836ae9e645f752550a4ab60b4e26ddb0fdbf77920832
figure_source_data/extended_data10_transition_prediction_ladder.csv,213,10111c7e491d44af78dfb95b6881c552881fbd32a9c76563aee47d58838c1eea
figure_source_data/extended_data11_closure_candidate_choice_rates.csv,290,8efa65f6b6a5a5556432d186657ebd8d5f67e38430882880f9fa1404bf5d080d
figure_source_data/extended_data11_closure_candidate_margin_pairs.csv,34024,13f6ce2178022c35c2e681042b7fccceaa625666b5c94f2efbf5d3f0c89af202
figure_source_data/extended_data11_closure_candidate_margin_shifts.csv,830,027d904ce16d6cd681522674b98114de5a95fd24f21c4686eeccee0a27a6ee3b
figure_source_data/extended_data11_deltaU_margin_coupling.csv,412,0a2df6baf33d15683cc1deb47e0ed96a48d16adb2f335834245970a8927d08a8
figure_source_data/extended_data12_panel_a_task_geometry.csv,1133,d8ab330c2f2a4e8d44a9c41410e180bb9a0f5fda2c6270ee8b9cb46624cf3831
figure_source_data/extended_data12_panel_b_arc_geometry.csv,701,d3cb7e0a52865b368bb20619b91613f95b7413f9781c48c0285eb0a55b63fa2a
figure_source_data/extended_data12_panel_c_predictive_forecast.csv,3840,03d2c56e2d657d16db3bff72990e808d3a2ba9414c2167ac88e56a563df6a4f7
figure_source_data/extended_data12_panel_d_initialization.csv,666,562c56fe58c4f317e072328ea9429c8a1419b3be8e42092d79d76e48ecb330a6
figure_source_data/extended_data12_panel_e_boundary_controls.csv,660,03e581bf3597c63b95f46cf7e9696fef3d59f7188b39cb58045199baf598f0a6
figure_source_data/extended_data12_panel_f_matched_nulls.csv,3173,343604e924d15a1fe46e6828c955f4349534d76ece5a3a1d8be62485b369cb63
figure_source_data/extended_data12_panel_f_real_assignments.csv,585,5fdeb1c29f05de0b7c41d09b2bfd229643bc6d3e541111a5ca018027ca6c1c75
figure_source_data/extended_data2_optional_residual_families.csv,555,d04cb665f7ddf353562bb28f046eb1b8cdcb0c6a2bfa5df615678b944e406887
figure_source_data/extended_data4_construction_aligned_reference.csv,718,6f6b027ec4f88591748d0169561130d28e823e8c807a7b7ad17b41c966ebba9f
figure_source_data/extended_data7_readback_centre_geometry.csv,431,7d8163533d5a0588deabe140b2e6101ea25c940b7dc57cf3808e30faba2e833f
figure_source_data/figure0_mechanism_nodes.csv,374,dfdb2a9abb91b3c8443cd8cf44c38fdf469a15909b6299a9bfa5c987c6a8ae5a
figure_source_data/figure0_winner_fraction_layer_trace_v0_3.csv,1515,6257317424d6fef13c0d6b528156119b2fc7003fa14378c3024db8f15787f8c9
figure_source_data/figure1_panel_a_entry_schematic.csv,43970,02149340508754373c7a0ea90e4aa42f2e2eb09b665a6854d97baaa090e82254
